token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
97648,HINDUNILVR26JUN252140CE,HINDUNILVR,26JUN2025,214000.000000,300,OPTSTK,NFO,5.000000
97667,HINDUNILVR26JUN252460CE,HINDUNILVR,26JUN2025,246000.000000,300,OPTSTK,NFO,5.000000
97669,HINDUNILVR26JUN252500CE,HINDUNILVR,26JUN2025,250000.000000,300,OPTSTK,NFO,5.000000
100066,KOTAKBANK29MAY252520PE,KOTAKBANK,29MAY2025,252000.000000,400,OPTSTK,NFO,5.000000
100140,ICICIBANK26JUN251360PE,ICICIBANK,26JUN2025,136000.000000,700,OPTSTK,NFO,5.000000
100152,ICICIBANK26JUN251420PE,ICICIBANK,26JUN2025,142000.000000,700,OPTSTK,NFO,5.000000
100120,ICICIBANK26JUN251240CE,ICICIBANK,26JUN2025,124000.000000,700,OPTSTK,NFO,5.000000
97749,HINDPETRO26JUN25330CE,HINDPETRO,26JUN2025,33000.000000,2025,OPTSTK,NFO,5.000000
97753,JIOFIN29MAY25220PE,JIOFIN,29MAY2025,22000.000000,1650,OPTSTK,NFO,5.000000
97752,JIOFIN29MAY25220CE,JIOFIN,29MAY2025,22000.000000,1650,OPTSTK,NFO,5.000000
97720,JIOFIN29MAY25190PE,JIOFIN,29MAY2025,19000.000000,1650,OPTSTK,NFO,5.000000
100163,ICICIBANK26JUN251500PE,ICICIBANK,26JUN2025,150000.000000,700,OPTSTK,NFO,5.000000
100164,ICICIBANK26JUN251520CE,ICICIBANK,26JUN2025,152000.000000,700,OPTSTK,NFO,5.000000
100167,ICICIBANK26JUN251540PE,ICICIBANK,26JUN2025,154000.000000,700,OPTSTK,NFO,5.000000
100173,ICICIBANK26JUN251600PE,ICICIBANK,26JUN2025,160000.000000,700,OPTSTK,NFO,5.000000
88356,HFCL29MAY2570PE,HFCL,29MAY2025,7000.000000,4150,OPTSTK,NFO,5.000000
97771,JIOFIN29MAY25290CE,JIOFIN,29MAY2025,29000.000000,1650,OPTSTK,NFO,5.000000
97772,JIOFIN29MAY25290PE,JIOFIN,29MAY2025,29000.000000,1650,OPTSTK,NFO,5.000000
97894,HINDUNILVR29MAY252140CE,HINDUNILVR,29MAY2025,214000.000000,300,OPTSTK,NFO,5.000000
88359,HFCL29MAY2580CE,HFCL,29MAY2025,8000.000000,4150,OPTSTK,NFO,5.000000
88377,ESCORTS29MAY252850PE,ESCORTS,29MAY2025,285000.000000,150,OPTSTK,NFO,5.000000
88393,ESCORTS29MAY253450CE,ESCORTS,29MAY2025,345000.000000,150,OPTSTK,NFO,5.000000
88442,DLF31JUL25560PE,DLF,31JUL2025,56000.000000,825,OPTSTK,NFO,5.000000
100326,KPITTECH29MAY251040CE,KPITTECH,29MAY2025,104000.000000,400,OPTSTK,NFO,5.000000
100186,IDFCFIRSTB31JUL2558CE,IDFCFIRSTB,31JUL2025,5800.000000,9275,OPTSTK,NFO,5.000000
100205,IDFCFIRSTB31JUL2570PE,IDFCFIRSTB,31JUL2025,7000.000000,9275,OPTSTK,NFO,5.000000
100201,IDFCFIRSTB31JUL2566PE,IDFCFIRSTB,31JUL2025,6600.000000,9275,OPTSTK,NFO,5.000000
88448,DLF31JUL25620PE,DLF,31JUL2025,62000.000000,825,OPTSTK,NFO,5.000000
88450,DLF31JUL25640PE,DLF,31JUL2025,64000.000000,825,OPTSTK,NFO,5.000000
88490,DLF31JUL25760CE,DLF,31JUL2025,76000.000000,825,OPTSTK,NFO,5.000000
88491,DLF31JUL25760PE,DLF,31JUL2025,76000.000000,825,OPTSTK,NFO,5.000000
100337,KPITTECH29MAY251240PE,KPITTECH,29MAY2025,124000.000000,400,OPTSTK,NFO,5.000000
100330,KPITTECH29MAY251120CE,KPITTECH,29MAY2025,112000.000000,400,OPTSTK,NFO,5.000000
100331,KPITTECH29MAY251120PE,KPITTECH,29MAY2025,112000.000000,400,OPTSTK,NFO,5.000000
100369,ICICIGI29MAY251740CE,ICICIGI,29MAY2025,174000.000000,250,OPTSTK,NFO,5.000000
88534,HINDALCO29MAY25660PE,HINDALCO,29MAY2025,66000.000000,1400,OPTSTK,NFO,5.000000
88536,HINDALCO29MAY25680PE,HINDALCO,29MAY2025,68000.000000,1400,OPTSTK,NFO,5.000000
88532,HINDALCO29MAY25640PE,HINDALCO,29MAY2025,64000.000000,1400,OPTSTK,NFO,5.000000
88529,HINDALCO29MAY25620CE,HINDALCO,29MAY2025,62000.000000,1400,OPTSTK,NFO,5.000000
100383,KPITTECH29MAY251520CE,KPITTECH,29MAY2025,152000.000000,400,OPTSTK,NFO,5.000000
100396,ICICIGI29MAY252020CE,ICICIGI,29MAY2025,202000.000000,250,OPTSTK,NFO,5.000000
100478,ICICIGI26JUN251880PE,ICICIGI,26JUN2025,188000.000000,250,OPTSTK,NFO,5.000000
100485,ICICIGI26JUN252040CE,ICICIGI,26JUN2025,204000.000000,250,OPTSTK,NFO,5.000000
